Date,CO2
1776-02-15,277.58782722533385
1776-03-15,277.57614552880415
1776-04-15,277.5641176929282
1776-05-15,277.5517817677939
1776-06-15,277.5391758034891
1776-07-15,277.52633785010187
1776-08-15,277.5133059577199
1776-09-15,277.50011817643133
1776-10-15,277.48681255632386
1776-11-15,277.4734271474854
1776-12-15,277.4600000000039
1777-01-15,277.44655789727284
1777-02-15,277.43308255590773
1777-03-15,277.4195444258295
1777-04-15,277.40591395695924
1777-05-15,277.3921615992179
1777-06-15,277.3782578025265
1777-07-15,277.36417301680615
1777-08-15,277.3498776919778
1777-09-15,277.33534227796247
1777-10-15,277.3205372246811
1777-11-15,277.3054329820549
1777-12-15,277.2900000000048
1778-01-15,277.2742154377621
1778-02-15,277.2580832918002
1778-03-15,277.2416142679025
1778-04-15,277.22481907185266
1778-05-15,277.2077084094342
1778-06-15,277.19029298643073
1778-07-15,277.17258350862596
1778-08-15,277.15459068180326
1778-09-15,277.13632521174634
1778-10-15,277.11779780423876
1778-11-15,277.0990191650642
1778-12-15,277.08000000000607
1779-01-15,277.0607585924489
1779-02-15,277.041343536181
1779-03-15,277.0218110025913
1779-04-15,277.002217163069
1779-05-15,276.9826181890031
1779-06-15,276.9630702517827
1779-07-15,276.94362952279704
1779-08-15,276.92435217343495
1779-09-15,276.9052943750858
1779-10-15,276.8865122991385
1779-11-15,276.8680621169821
1779-12-15,276.8500000000058
1780-01-15,276.83237982210693
1780-02-15,276.8152462672149
1780-03-15,276.79864172176775
1780-04-15,276.7826085722033
1780-05-15,276.7671892049593
1780-06-15,276.7524260064737
1780-07-15,276.73836136318414
1780-08-15,276.72503766152863
1780-09-15,276.712497287945
1780-10-15,276.70078262887097
1780-11-15,276.68993607074447
1780-12-15,276.6800000000032
1781-01-15,276.6710068413777
1781-02-15,276.66294917276826
1781-03-15,276.6558096103678
1781-04-15,276.6495707703692
1781-05-15,276.6442152689656
1781-06-15,276.63972572234957
1781-07-15,276.63608474671435
1781-08-15,276.6332749582526
1781-09-15,276.63127897315735
1781-10-15,276.6300794076215
1781-11-15,276.6296588778381
1781-12-15,276.6299999999997
1782-01-15,276.63108702536215
1782-02-15,276.632910745431
1782-03-15,276.6354635867746
1782-04-15,276.63873797596113
1782-05-15,276.6427263395591
1782-06-15,276.6474211041365
1782-07-15,276.6528146962619
1782-08-15,276.6588995425033
1782-09-15,276.66566806942933
1782-10-15,276.673112703608
1782-11-15,276.68122587160764
1782-12-15,276.6899999999967
1783-01-15,276.69942514976356
1783-02-15,276.70948191957746
1783-03-15,276.72014854252797
1783-04-15,276.73140325170453
1783-05-15,276.74322428019667
1783-06-15,276.75558986109377
1783-07-15,276.76847822748556
1783-08-15,276.7818676124613
1783-09-15,276.7957362491105
1783-10-15,276.8100623705228
1783-11-15,276.82482420978755
1783-12-15,276.8399999999943
1784-01-15,276.85557580148907
1784-02-15,276.87156898364464
1784-03-15,276.88800474309033
1784-04-15,276.90490827645533
1784-05-15,276.9223047803691
1784-06-15,276.94021945146096
1784-07-15,276.95867748636
1784-08-15,276.9777040816957
1784-09-15,276.9973244340975
1784-10-15,277.01756374019453
1784-11-15,277.0384471966161
1784-12-15,277.05999999999165
1785-01-15,277.0822357646147
1785-02-15,277.1051217754366
1785-03-15,277.12861373507263
1785-04-15,277.15266734613834
1785-05-15,277.1772383112492
1785-06-15,277.2022823330207
1785-07-15,277.2277551140683
1785-08-15,277.25361235700746
1785-09-15,277.2798097644537
1785-10-15,277.30630303902245
1785-11-15,277.3330478833292
1785-12-15,277.35999999998944
1786-01-15,277.3871246585193
1786-02-15,277.414425396038
1786-03-15,277.4419153165654
1786-04-15,277.4696075241215
1786-05-15,277.49751512272604
1786-06-15,277.52565121639896
1786-07-15,277.5540289091603
1786-08-15,277.5826613050298
1786-09-15,277.6115615080274
1786-10-15,277.64074262217304
1786-11-15,277.6702177514866
1786-12-15,277.6999999999879
1787-01-15,277.73009893457777
1787-02-15,277.7605099736803
1787-03-15,277.7912249986004
1787-04-15,277.8222358906429
1787-05-15,277.85353453111304
1787-06-15,277.8851128013155
1787-07-15,277.9169625825552
1787-08-15,277.9490757561372
1787-09-15,277.98144420336627
1787-10-15,278.01405980554756
1787-11-15,278.04691444398594
1787-12-15,278.0799999999862
1788-01-15,278.1133071493923
1788-02-15,278.14682174620344
1788-03-15,278.1805284389578
1788-04-15,278.21441187619354
1788-05-15,278.24845670644874
1788-06-15,278.28264757826156
1788-07-15,278.3169691401702
1788-08-15,278.35140604071273
1788-09-15,278.3859429284274
1788-10-15,278.4205644518523
1788-11-15,278.45525525952553
1788-12-15,278.48999999998523
